timestamp,peer,event,method,elapsed_ms,note
2026-05-27T09:57:17.602,bob,CRASH,kill,650,ok
2026-05-27T09:57:31.703,hoang,LEAVE,graceful,921,ok
2026-05-27T09:57:40.264,duc,CRASH,kill,560,ok
2026-05-27T09:57:54.166,bob,JOIN,start,725,ok
2026-05-27T09:58:02.878,hoang,JOIN,start,531,ok
2026-05-27T09:58:08.735,duc,JOIN,start,683,ok
2026-05-27T09:58:14.661,alice,FINAL_STATE_ONLINE,snapshot,0,
2026-05-27T09:58:14.661,bob,FINAL_STATE_ONLINE,snapshot,0,
2026-05-27T09:58:14.661,duc,FINAL_STATE_ONLINE,snapshot,0,
2026-05-27T09:58:14.661,hoang,FINAL_STATE_ONLINE,snapshot,0,
2026-05-27T09:58:14.661,hoan,FINAL_STATE_ONLINE,snapshot,0,
