sim_time,event,peer,detail
0.03,JOIN,peer_09,online=1 neighbors=4 session=3.9s
0.16,JOIN,peer_00,online=2 neighbors=4 session=28.8s
0.23,JOIN,peer_08,online=3 neighbors=4 session=333.1s
0.38,JOIN,peer_01,online=4 neighbors=4 session=45.2s
0.56,JOIN,peer_04,online=5 neighbors=4 session=212.6s
0.64,JOIN,peer_03,online=6 neighbors=4 session=118.3s
0.68,JOIN,peer_05,online=7 neighbors=4 session=0.7s
0.78,JOIN,peer_07,online=8 neighbors=4 session=76.5s
0.84,JOIN,peer_06,online=9 neighbors=4 session=68.7s
0.99,JOIN,peer_02,online=10 neighbors=4 session=46.2s
1.38,CRASH,peer_05,session=0.7s affected=4
3.97,CRASH,peer_09,session=3.9s affected=4
5.00,HEARTBEAT,,online=8 neighs~3
5.11,SEND_MSG,peer_08,to=peer_07 [ONLINE] delivered=True
6.15,REJOIN,peer_05,online=9
10.00,HEARTBEAT,,online=9 neighs~3
10.23,SEND_MSG,peer_00,to=peer_07 [ONLINE] delivered=True
10.25,SEND_MSG,peer_05,to=peer_00 [ONLINE] delivered=True
11.82,REJOIN,peer_09,online=10
13.79,SEND_MSG,peer_05,to=peer_07 [ONLINE] delivered=True
14.22,CRASH,peer_02,session=14.2s affected=3
15.00,HEARTBEAT,,online=9 neighs~3
18.49,SEND_MSG,peer_03,to=peer_04 [ONLINE] delivered=True
18.70,CRASH,peer_01,session=18.7s affected=4
20.00,HEARTBEAT,,online=8 neighs~3
22.67,CRASH,peer_05,session=22.7s affected=4
22.74,CRASH,peer_00,session=22.7s affected=4
25.00,HEARTBEAT,,online=6 neighs~3
25.67,SEND_MSG,peer_07,to=peer_06 [ONLINE] delivered=True
28.30,REJOIN,peer_02,online=7
29.48,CRASH,peer_02,session=1.2s affected=4
30.00,HEARTBEAT,,online=6 neighs~2
30.21,CRASH,peer_07,session=30.2s affected=4
34.40,REJOIN,peer_02,online=6
35.00,HEARTBEAT,,online=6 neighs~2
36.84,CRASH,peer_09,session=36.8s affected=3
38.21,SEND_MSG,peer_08,to=peer_03 [ONLINE] delivered=True
